,TRACTID,cost,date
428,050800,350000,2015-07-07
429,831700,319200,2015-07-07
430,831700,319200,2015-07-07
431,831700,319200,2015-07-07
432,831700,319200,2015-07-07
433,680900,17875,2015-07-07
434,031000,17875,2015-07-07
435,140602,1200,2015-07-07
436,030400,2e+05,2015-07-07
437,070300,750000,2015-07-07
438,420500,6000,2015-07-07
439,081402,3500,2015-07-07
440,836400,20000,2015-07-07
441,842300,12000,2015-07-07
442,710200,22000,2015-07-08
443,070700,4400000,2015-07-08
444,060200,17875,2015-07-08
445,610300,17875,2015-07-08
446,243000,17875,2015-07-08
447,070600,17875,2015-07-08
448,831200,247206,2015-07-08
449,280100,92000,2015-06-25
450,242300,17875,2015-07-08
451,320100,8000,2015-07-08
452,221600,25875,2015-07-08
453,051100,350000,2015-07-08
454,151002,5000,2015-07-08
455,400300,3000,2015-07-08
456,842900,5000,2015-07-08
457,842900,5000,2015-07-08
458,140500,17875,2015-07-09
459,570200,50000,2015-07-09
460,051300,3e+05,2015-07-09
461,160501,17875,2015-07-09
462,681000,17875,2015-07-09
463,NA,17875,2015-07-09
464,030400,17875,2015-07-09
465,242200,8000,NA
466,210700,17875,2015-07-09
467,050500,350000,NA
468,210502,17875,2015-07-09
469,230600,17875,2015-07-09
470,600400,17875,2015-07-09
471,NA,10000,2015-07-08
472,842300,8e+06,2015-07-09
473,160100,14000,2015-07-08
474,240900,8200000,2015-07-09
475,060400,1e+06,2015-07-10
476,210502,220000,2015-07-10
477,560800,230000,2015-07-10
478,830900,250000,2015-07-10
479,160900,17875,2015-07-10
480,160900,17875,2015-07-10
481,560800,250000,2015-07-10
482,831900,17875,2015-07-10
483,040900,1500,2015-07-10
484,040900,1500,2015-07-10
485,330100,17875,2015-07-09
486,750400,2e+05,2015-07-13
487,070300,1200000,2015-07-13
488,750500,635000,2015-07-13
489,221000,17875,2015-07-13
490,221000,17875,2015-07-13
491,070300,275000,2015-07-13
492,062800,17875,2015-07-13
493,230200,638200,2015-07-13
494,832300,17875,2015-07-13
495,230200,3842000,2015-07-14
496,241300,3e+05,2015-07-14
497,280900,8e+05,2015-07-14
498,838300,1447000,2015-07-14
499,241400,2e+05,2015-07-14
500,282700,277500,2015-07-14
501,282700,277500,2015-07-14
502,833300,4e+05,2015-07-14
503,170100,1000,2015-07-14
504,242100,17875,2015-07-14
505,221000,309000,2015-07-14
506,160700,250000,2015-07-14
507,670600,17875,2015-07-14
508,670600,17875,2015-07-14
509,670600,17875,2015-07-14
510,670600,17875,2015-07-14
511,670600,17875,2015-07-14
512,220701,247120,2015-07-14
513,830500,17875,2015-07-14
514,842600,17875,2015-07-14
515,221000,17875,2015-07-14
516,330100,30000,2015-07-14
517,640300,1000,2015-07-14
518,320100,6000,2015-07-14
519,833000,10000,2015-07-14
520,833000,1000,2015-07-14
521,222200,528200,2015-07-14
522,340600,5000,2015-07-14
523,842300,2000,2015-07-14
524,660800,17875,2015-07-15
525,611300,17875,2015-07-15
526,081600,4500,2015-07-14
527,843600,311000,2015-07-15
528,040900,17875,2015-07-15
529,230900,365200,2015-07-15
530,251800,17875,2015-07-15
531,310300,17875,2015-07-15
532,051000,17875,2015-07-15
533,050200,17875,2015-07-15
534,833000,2000,2015-07-15
535,691500,17875,2015-07-15
536,671400,17875,2015-07-15
537,837300,17875,2015-07-15
538,691500,17875,2015-07-15
539,630400,17875,2015-07-15
540,530501,17875,2015-07-15
541,630300,17875,2015-07-15
542,241400,50000,2015-07-16
543,221500,542500,2015-07-16
544,220901,2e+05,2015-07-16
545,831300,17875,2015-07-16
546,243000,350000,2015-07-16
547,671300,17875,2015-07-16
548,671800,17875,2015-07-16
549,051000,1100000,NA
550,842200,17875,2015-07-16
551,242900,17875,2015-07-16
552,241500,17875,2015-07-16
553,833000,17875,2015-07-17
554,330100,1200000,2015-07-17
555,050800,17875,2015-07-16
556,320600,60000,2015-07-16
557,040201,17875,2015-07-17
558,060200,750000,2015-07-17
559,040900,5e+05,2015-07-17
560,071800,17875,2015-07-17
561,071800,17875,2015-07-17
562,071800,17875,2015-07-17
563,050800,17875,2015-07-17
564,420700,17875,2015-07-17
565,210900,1200000,NA
566,310600,17875,2015-07-17
567,310600,17875,2015-07-17
568,243300,490000,NA
569,081800,1000,2015-07-17
570,031400,3000,2015-07-17
571,838800,3000,2015-07-17
572,241100,1507500,2015-07-23
573,241200,30000,NA
574,839700,350000,2015-07-20
575,650200,3e+05,2015-07-20
576,040100,17875,2015-07-20
577,050500,3e+05,2015-07-20
578,580100,205000,2015-07-20
579,071100,17875,2015-07-20
580,071600,652800,2015-07-20
581,050500,250000,2015-07-20
582,221000,316400,2015-07-20
583,831400,12500,2015-07-20
584,081900,2e+07,2015-07-17
585,110502,17875,2015-07-17
586,061901,903700,2015-07-21
587,010501,17875,2015-07-21
588,170800,17875,2015-07-21
589,040800,17875,2015-07-21
590,081600,17875,2015-07-21
591,081600,2500000,2015-07-20
592,670800,12000,2015-07-22
593,030400,350000,2015-07-22
594,030400,350000,2015-07-22
595,282700,277500,2015-07-22
596,832200,17875,2015-07-22
597,832200,17875,2015-07-22
598,161000,2e+05,NA
599,100300,15900,2015-07-22
600,350100,4000,2015-07-22
601,330100,25000,2015-07-22
602,081700,7200000,2015-07-22
603,071700,55000,2015-07-23
604,071100,8e+05,NA
605,220500,1644900,2015-07-23
606,071100,17875,2015-07-23
607,050900,3e+05,2015-07-23
608,060300,17875,2015-07-23
609,030800,22000,NA
610,836100,10000,2015-07-23
611,490901,17875,2015-07-23
612,540102,17875,2015-07-23
613,730500,17875,2015-07-23
614,530600,17875,2015-07-23
615,070300,17875,2015-07-20
616,070300,17875,2015-07-20
617,071100,17875,2015-07-20
618,320100,1e+05,2015-07-23
619,833000,2000,2015-07-23
620,839900,540000,2015-07-24
621,720200,4400000,2015-07-24
622,490600,35000,2015-07-24
623,161100,5e+05,2015-07-24
624,640400,2e+06,2015-07-24
625,081202,60000,2015-07-17
626,090200,220000,NA
627,090200,220000,NA
628,241500,2000,2015-07-24
629,243500,5000,2015-07-23
630,320100,1e+05,NA
631,110502,3520,2015-07-24
632,040401,195000,2015-07-26
633,020100,3500000,2015-07-27
634,839900,540000,NA
635,030400,17875,2015-07-27
636,831800,35000,2015-07-27
637,840300,2e+05,2015-07-27
638,020200,9e+05,2015-07-27
639,170500,17875,2015-07-27
640,081700,60000,2015-07-27
641,282700,351000,2015-07-27
642,282700,351000,2015-07-27
643,410700,5e+07,2015-07-24
644,320400,5000,2015-07-27
645,320400,5000,2015-07-27
646,292500,16649000,2015-07-27
647,832200,17875,2015-07-28
648,242300,7e+05,2015-07-28
649,062300,9e+05,2015-07-28
650,220400,17875,2015-07-28
651,180100,17875,2015-07-28
652,071800,650000,2015-07-28
653,071800,650000,2015-07-28
654,838100,70000,2015-07-27
655,080300,17875,2015-07-28
656,031400,15000,2015-07-28
657,838200,3000,2015-07-28
658,832400,17875,2015-07-28
659,400500,15000,2015-07-28
660,040700,17875,2015-07-28
661,830900,2500,2015-07-28
662,330100,6000,2015-07-28
663,834500,17875,2015-07-29
664,834500,17875,2015-07-29
665,050900,550000,2015-07-29
666,843500,35000,2015-07-29
667,220702,35000,2015-07-29
668,630100,35000,2015-07-29
669,221600,450000,2015-07-29
670,050500,17875,2015-07-29
671,060400,17875,2015-07-29
672,030400,380000,NA
673,030400,380000,NA
674,833000,25000,2015-07-29
675,062000,17875,2015-07-29
676,243300,17875,2015-07-30
677,051200,17875,2015-07-30
678,060300,150000,2015-07-30
679,842300,25000,2015-07-30
680,839700,2e+05,2015-07-30
681,050500,17875,2015-07-30
682,071200,350000,NA
683,840300,17875,2015-07-30
684,832400,17875,2015-07-30
685,842300,25000,2015-07-30
686,842300,25000,2015-07-30
687,681100,17875,2015-07-30
688,671100,17875,2015-07-30
689,839700,17875,2015-07-31
690,839900,2e+05,NA
691,030400,350000,2015-07-31
692,030400,350000,2015-07-31
693,030400,350000,2015-07-31
694,030400,350000,2015-07-31
695,062800,17875,2015-07-31
696,839700,17875,2015-07-31
697,222200,528200,2015-07-31
698,222900,17875,2015-07-31
699,243400,482400,2015-08-03
700,242100,705500,2015-08-01
701,242900,426000,2015-08-01
702,050500,17875,2015-08-03
703,833300,1161700,NA
704,221300,670800,2015-08-03
705,062100,17875,2015-08-04
706,832200,1250000,NA
707,081402,65000,2015-08-04
708,040401,17875,2015-08-04
709,221500,329100,2015-08-04
710,841000,17875,2015-08-04
711,081700,17875,2015-08-04
712,160602,350000,2015-08-04
713,062800,17875,2015-08-04
714,252102,17875,2015-08-04
715,060400,17875,2015-08-04
716,040600,17875,2015-08-04
717,110502,1000,2015-08-04
718,810400,4000,2015-08-04
719,120100,350000,2015-08-05
720,831200,280215,2015-08-05
721,510100,2e+06,NA
722,050500,428000,2015-08-05
723,241100,17875,2015-08-05
724,243500,92000,2015-07-15
725,062800,350000,NA
726,090200,3e+05,NA
727,310300,404800,2015-08-05
728,410800,250000,2015-08-05
729,070700,450000,2015-08-05
730,063400,450000,NA
731,040100,17875,2015-08-05
732,050100,350000,NA
733,839000,8100000,2015-08-03
734,071800,2e+06,NA
735,460400,30000,2015-08-06
736,710500,35000,2015-08-06
737,831700,319200,2015-08-06
738,220400,2e+05,2015-08-06
739,210602,17875,2015-08-06
740,050500,350000,NA
741,842200,25000,2015-08-06
742,841000,17875,2015-08-05
743,061100,5000,2015-08-06
744,301801,5000,2015-08-06
745,071500,1000,2015-08-06
746,491100,2000,2015-08-06
747,210100,1000,2015-08-06
748,062000,3000,2015-08-06
749,160800,17875,2015-08-07
750,843700,17875,2015-08-07
751,220901,17875,2015-08-07
752,831700,319200,2015-08-07
753,831700,319200,2015-08-07
754,830900,17875,2015-08-07
755,832400,1279300,2015-08-07
756,210502,17875,2015-08-07
757,130100,17875,2015-08-07
758,050500,350000,NA
759,837800,17875,2015-08-07
760,831400,1000,2015-08-07
761,071300,1.6e+07,2015-08-04
762,842300,4e+07,2015-08-06
763,081100,3.5e+07,2015-08-07
764,833000,17875,2015-08-10
765,051400,275000,2015-08-10
766,834800,2e+06,2015-08-10
767,120400,35000,2015-08-10
768,400400,35000,2015-08-10
769,210602,17875,2015-08-10
770,670600,17875,2015-08-10
771,161100,17875,2015-08-10
772,170800,2e+05,NA
773,051100,350000,2015-08-10
774,320400,3000,2015-08-10
775,243300,5e+05,2015-08-11
776,050200,17875,2015-08-11
777,611000,150000,2015-08-11
778,061000,17875,2015-08-11
779,050300,17875,2015-08-11
780,842200,50000,2015-08-11
781,221500,17875,2015-08-11
782,221000,280948,2015-08-11
783,222900,251788,2015-08-11
784,251800,17875,2015-08-11
785,160700,17875,2015-08-11
786,040800,6e+05,2015-08-11
787,242200,17875,2015-08-11
788,221300,250000,2015-08-11
789,030200,17875,2015-08-11
790,240600,17875,2015-08-11
791,230100,17875,2015-08-11
792,051100,17875,2015-08-11
793,242800,5000,NA
794,320100,4000,2015-08-11
795,330100,7500,2015-08-11
796,260600,17875,2015-08-11
797,260700,17875,2015-08-11
798,071500,10000,2015-08-11
799,320100,58000,2015-08-11
800,241400,5000,2015-08-11
801,190601,2000,2015-08-11
802,081000,21600000,2015-08-10
803,031200,80000,2015-08-12
804,430101,20000,2015-08-12
805,840300,165000,NA
806,160502,2e+05,2015-08-12
807,241400,17875,2015-08-12
808,210700,450000,NA
809,839700,350000,2015-08-13
810,440300,17875,2015-08-13
811,530501,17875,2015-08-13
812,243500,7e+05,NA
813,671400,17875,2015-08-13
814,671300,17875,2015-08-13
815,241300,3e+06,2015-08-14
816,050500,17875,2015-08-14
817,080300,350000,2015-08-14
818,050300,477900,2015-08-14
819,832500,17875,2015-08-14
820,050200,350000,2015-08-14
821,060200,17875,2015-08-14
822,071500,1000,2015-08-14
823,210602,311400,2015-08-14
824,NA,17875,2015-08-14
