,std,sum,mean,timestamp
1400000US36005019400,17.5410935691,1012.00402832,92.0003662109,2014-02-15
1400000US36005019500,14.1582029903,870.262817383,145.043802897,2014-02-15
1400000US36005019700,5.1831913347,641.351806641,128.270361328,2014-02-15
1400000US36005019900,8.93779945139,620.37121582,124.074243164,2014-02-15
1400000US36005020000,23.9379729779,1001.65258789,125.206573486,2014-02-15
1400000US36005020100,14.1453663782,614.224609375,102.370768229,2014-02-15
1400000US36005020200,3.88232431087,403.321777344,100.830444336,2014-02-15
1400000US36005020400,3.59003501939,502.507354736,100.501470947,2014-02-15
1400000US36005020501,15.3305489928,504.33215332,100.866430664,2014-02-15
1400000US36005020502,10.0963025719,408.194885254,102.048721313,2014-02-15
1400000US36005020601,1.42436185234,494.85925293,98.9718505859,2014-02-15
1400000US36005020900,4.14059344586,552.377075195,138.094268799,2014-02-15
1400000US36005021001,8.87165154703,569.230712891,113.846142578,2014-02-15
1400000US36005021002,8.36024090141,542.305175781,108.461035156,2014-02-15
1400000US36005021100,13.3265404246,724.279296875,120.713216146,2014-02-15
1400000US36005021200,7.1219520876,548.135131836,109.627026367,2014-02-15
1400000US36005021301,3.07574463799,261.374237061,130.68711853,2014-02-15
1400000US36005021302,2.8670418102,528.291564941,132.072891235,2014-02-15
1400000US36005021501,8.60144837477,346.703186035,115.567728678,2014-02-15
1400000US36005021502,12.6023709282,747.021911621,124.503651937,2014-02-15
1400000US36005021601,6.23698249663,706.423828125,117.737304688,2014-02-15
1400000US36005021602,7.00897975969,465.589691162,116.397422791,2014-02-15
1400000US36005021700,7.94515886036,532.832275391,133.208068848,2014-02-15
1400000US36005021800,16.1514023494,863.739257812,123.391322545,2014-02-15
1400000US36005021900,1.37381862695,531.580322266,132.895080566,2014-02-15
1400000US36005022000,22.4164440909,790.623901367,112.946271624,2014-02-15
1400000US36005022101,1.36667569708,399.893371582,133.297790527,2014-02-15
1400000US36005022102,0.404190067797,263.806488037,131.903244019,2014-02-15
1400000US36005022200,5.30600565964,828.905456543,103.613182068,2014-02-15
1400000US36005022300,2.89808936483,537.924438477,134.481109619,2014-02-15
1400000US36005022401,18.0873430204,488.016693115,97.603338623,2014-02-15
1400000US36005022403,17.7124767288,374.81854248,124.93951416,2014-02-15
1400000US36005022404,3.40448764391,195.913772583,97.9568862915,2014-02-15
1400000US36005022500,5.61149161951,558.772216797,139.693054199,2014-02-15
1400000US36005022701,9.25588101225,543.083007812,135.770751953,2014-02-15
1400000US36005022702,4.38338255957,417.146728516,139.048909505,2014-02-15
1400000US36005022703,2.99520729609,574.56262207,143.640655518,2014-02-15
1400000US36005022800,20.1809683706,660.411743164,110.068623861,2014-02-15
1400000US36005022901,5.21414096778,443.817840576,147.939280192,2014-02-15
1400000US36005022902,13.4468569802,624.875488281,156.21887207,2014-02-15
1400000US36005023000,18.349293553,609.098999023,101.516499837,2014-02-15
1400000US36005023100,10.6193425693,444.190185547,148.063395182,2014-02-15
1400000US36005023200,18.41584666,520.49041748,104.098083496,2014-02-15
1400000US36005023301,8.069890856,526.373535156,131.593383789,2014-02-15
1400000US36005023302,11.1252889417,848.504150391,141.417358398,2014-02-15
1400000US36005023501,2.62157561965,517.475769043,129.368942261,2014-02-15
1400000US36005023502,2.18375119101,384.962280273,128.320760091,2014-02-15
1400000US36005023600,11.0315566124,340.058959961,113.352986654,2014-02-15
1400000US36005023702,7.25910062826,516.067749023,129.016937256,2014-02-15
1400000US36005023703,5.71667731963,377.855529785,125.951843262,2014-02-15
1400000US36005023704,2.29259439821,514.190551758,128.547637939,2014-02-15
1400000US36005023800,10.426087862,814.247680664,116.321097238,2014-02-15
1400000US36005023900,7.48740872862,750.097045898,125.016174316,2014-02-15
1400000US36005024000,11.3326753484,850.184875488,121.454982213,2014-02-15
1400000US36005024100,4.85236915848,524.753173828,131.188293457,2014-02-15
1400000US36005024300,9.48588139293,633.914367676,126.782873535,2014-02-15
1400000US36005024400,10.6190911112,584.24005127,97.3733418783,2014-02-15
1400000US36005024501,9.92784868768,466.901031494,116.725257874,2014-02-15
