"","LATITUDE","LONGITUDE","cost","date"
"169",41.896920318,-87.664198067,17875,2016-04-12
"170",41.746178697,-87.56519655,1000,2016-04-12
"171",41.894920368,-87.674778978,17875,2016-04-13
"172",41.934837016,-87.684338815,17875,2016-04-13
"173",41.942721482,-87.674118139,199000,2016-04-13
"174",41.991357539,-87.735884332,215000,2016-04-13
"175",41.991384735,-87.735942104,215000,2016-04-13
"176",41.991411952,-87.73599992,215000,2016-04-13
"177",41.991466386,-87.736115552,215000,2016-04-13
"178",41.977729163,-87.819853805,1e+05,NA
"179",42.002670956,-87.821094035,471450,2016-04-13
"180",41.940024219,-87.832385042,250000,2016-04-13
"181",41.779840002,-87.64613076,2537000,2016-04-13
"182",41.901818092,-87.686853642,17875,2016-04-13
"183",41.899538957,-87.671203478,17875,2016-04-13
"184",41.925860073,-87.709177567,15000,2016-04-13
"185",41.812770921,-87.599183513,3e+05,2016-04-14
"186",41.934503275,-87.678338494,960000,2016-04-14
"187",41.943310327,-87.679890733,875000,2016-04-14
"188",41.948322535,-87.689662099,220000,2016-04-14
"189",41.890209007,-87.647752415,1400000,2016-04-14
"190",41.832234078,-87.670293117,17875,2016-04-14
"191",41.944225225,-87.664086417,17875,2016-04-14
"192",41.858397232,-87.643664676,250000,2016-04-14
"193",41.858343495,-87.643662908,250000,2016-04-14
"194",41.913639482,-87.688672556,17875,2016-04-14
"195",41.950415221,-87.666376784,17875,2016-04-14
"196",41.898029358,-87.665497024,718800,2016-04-14
"197",41.946166467,-87.665059205,17875,2016-04-14
"198",41.932645306,-87.639485865,5000,2016-04-14
"199",41.917423498,-87.640150231,17875,2016-04-14
"200",41.894990607,-87.627829198,1e+07,2016-04-14
"201",41.83357036,-87.68642547,80000,2016-04-15
"202",41.931766953,-87.660040639,150000,2016-04-15
"203",41.931841923,-87.645069361,850000,2016-04-15
"204",41.807788769,-87.723730332,3e+05,2016-04-15
"205",41.903409476,-87.691816008,250000,2016-04-15
"206",41.934008494,-87.677377321,17875,2016-04-15
"207",41.857259521,-87.643624099,189000,2016-04-18
"208",41.912961731,-87.702098589,2e+05,NA
"209",41.922297375,-87.699678559,555600,2016-04-18
"210",41.886912523,-87.674776318,5e+05,2016-04-18
"211",41.917352389,-87.699880708,17875,2016-04-18
"212",41.894099235,-87.683315112,16720,2016-04-18
"213",41.960536388,-87.669373414,17875,2016-04-18
"214",41.936333122,-87.680833696,17875,2016-04-18
"215",41.937925151,-87.678155868,1116750,2016-04-18
"216",41.855277614,-87.660366672,17875,2016-04-18
"217",41.879002865,-87.666879853,10000,2016-04-18
"218",41.906519615,-87.683607802,3e+05,2016-04-18
"219",41.901535624,-87.673948752,60000,2016-04-19
"220",41.708901562,-87.671147282,17875,2016-04-19
"221",41.952076456,-87.689419076,4e+05,2016-04-19
"222",41.892271678,-87.683337382,17875,2016-04-19
"223",41.963102321,-87.683349997,17875,2016-04-19
"224",41.884221607,-87.619339059,120000,2016-04-19
"225",41.964962442,-87.738706648,17875,2016-04-19
"226",42.008536401,-87.914428439,80000,2016-04-11
